Month,ProductCategory,ProductName,OrderQuantity,prev,growth_rate,trend_label
2026-02-01,Books,Comics,149,321.0,-0.5358255451713395,Declining
2026-02-01,Books,Educational,200,539.0,-0.6289424860853432,Declining
2026-02-01,Books,Fiction,100,498.0,-0.7991967871485943,Declining
2026-02-01,Books,Non-Fiction,220,612.0,-0.6405228758169934,Declining
2026-02-01,Books,Self-Help,136,518.0,-0.7374517374517374,Declining
2026-02-01,Electronics,Camera,350,768.0,-0.5442708333333334,Declining
2026-02-01,Electronics,Headphones,265,1029.0,-0.7424684159378037,Declining
2026-02-01,Electronics,Laptop,320,928.0,-0.6551724137931034,Declining
2026-02-01,Electronics,Smartphone,309,849.0,-0.6360424028268551,Declining
2026-02-01,Electronics,Smartwatch,412,772.0,-0.46632124352331605,Declining
2026-02-01,Electronics,Tablet,390,1114.0,-0.6499102333931778,Declining
2026-02-01,Fashion,Dress,449,1058.0,-0.5756143667296786,Declining
2026-02-01,Fashion,Jeans,427,1173.0,-0.6359761295822677,Declining
2026-02-01,Fashion,Kurta,514,1281.0,-0.5987509758001561,Declining
2026-02-01,Fashion,Saree,463,1172.0,-0.6049488054607508,Declining
2026-02-01,Fashion,Shoes,558,1303.0,-0.5717574827321565,Declining
2026-02-01,Fashion,T-Shirt,465,1247.0,-0.6271050521251003,Declining
2026-02-01,Furniture,Bed,287,734.0,-0.6089918256130791,Declining
2026-02-01,Furniture,Chair,218,694.0,-0.6858789625360231,Declining
2026-02-01,Furniture,Shelves,219,620.0,-0.646774193548387,Declining
2026-02-01,Furniture,Sofa,234,522.0,-0.5517241379310345,Declining
2026-02-01,Furniture,Table,296,808.0,-0.6336633663366337,Declining
2026-02-01,Furniture,Wardrobe,270,717.0,-0.6234309623430963,Declining
2026-02-01,Grocery,Dal,265,634.0,-0.582018927444795,Declining
2026-02-01,Grocery,Milk,297,730.0,-0.5931506849315068,Declining
2026-02-01,Grocery,Oil,245,708.0,-0.653954802259887,Declining
2026-02-01,Grocery,Rice,271,734.0,-0.6307901907356949,Declining
2026-02-01,Grocery,Spices,170,676.0,-0.7485207100591716,Declining
2026-02-01,Grocery,Vegetables,242,826.0,-0.7070217917675545,Declining
